year_no,region,seasonal_rain
1976,Brazil,17.694026947021484
1976,Tanzania_Kenya,14.797500610351562
1977,Central_America,22.55559794108073
1977,Venezuela_Colombia,10.750434875488281
1977,India_SriLanka,23.302998860677082
1977,Malaysia_Singapore_Thai,24.909701029459637
1977,Vietnam,31.545125325520832
1977,Phil,18.526112874348957
1977,Brazil,22.255452473958332
1977,Tanzania_Kenya,17.136739095052082
1978,Central_America,26.916798909505207
1978,Venezuela_Colombia,10.528116861979166
1978,India_SriLanka,20.95085271199544
1978,Malaysia_Singapore_Thai,23.614761352539062
1978,Vietnam,32.504618326822914
1978,Phil,28.483052571614582
1978,Brazil,22.019678751627605
1978,Tanzania_Kenya,21.4613774617513
1979,Central_America,29.982266743977863
1979,Venezuela_Colombia,16.170867919921875
1979,India_SriLanka,21.390963236490887
1979,Malaysia_Singapore_Thai,30.766072591145832
1979,Vietnam,31.186665852864582
1979,Phil,26.72222391764323
1979,Brazil,15.432533264160156
1979,Tanzania_Kenya,22.304346720377605
1980,Central_America,33.198933919270836
1980,Venezuela_Colombia,12.108116149902344
1980,India_SriLanka,13.690073649088541
1980,Malaysia_Singapore_Thai,31.73327382405599
1980,Vietnam,37.608978271484375
1980,Phil,35.939257303873696
1980,Brazil,13.842121124267578
1980,Tanzania_Kenya,15.571955362955729
1981,Central_America,23.821866353352863
1981,Venezuela_Colombia,14.725797017415365
1981,India_SriLanka,15.592999776204428
1981,Malaysia_Singapore_Thai,32.42047627766927
1981,Vietnam,38.97974650065104
1981,Phil,31.982131958007812
1981,Brazil,16.350426991780598
1981,Tanzania_Kenya,19.560035705566406
1982,Central_America,22.573867797851562
1982,Venezuela_Colombia,10.637681325276693
1982,India_SriLanka,14.85088857014974
1982,Malaysia_Singapore_Thai,27.897918701171875
1982,Vietnam,36.54948933919271
1982,Phil,17.146944681803387
1982,Brazil,17.77562713623047
1982,Tanzania_Kenya,19.009747823079426
1983,Central_America,22.581865946451824
1983,Venezuela_Colombia,9.936376571655273
1983,India_SriLanka,18.052296956380207
1983,Malaysia_Singapore_Thai,29.17053476969401
1983,Vietnam,37.124359130859375
1983,Phil,17.662408192952473
1983,Brazil,11.50271987915039
1983,Tanzania_Kenya,16.961087544759113
1984,Central_America,17.433600107828777
1984,Venezuela_Colombia,13.87405776977539
1984,India_SriLanka,12.753962198893229
1984,Malaysia_Singapore_Thai,28.986012776692707
1984,Vietnam,34.72948710123698
1984,Phil,22.451019287109375
1984,Brazil,29.0498530069987
1984,Tanzania_Kenya,15.652788798014322
1985,Central_America,19.329732259114582
1985,Venezuela_Colombia,18.076521555582683
1985,India_SriLanka,14.795888264973959
1985,Malaysia_Singapore_Thai,28.798868815104168
1985,Vietnam,34.400001525878906
1985,Phil,16.31999969482422
1985,Brazil,30.87433369954427
1985,Tanzania_Kenya,19.000831604003906
1986,Central_America,24.480931599934895
1986,Venezuela_Colombia,13.533189137776693
1986,India_SriLanka,12.923815409342447
1986,Malaysia_Singapore_Thai,32.18761952718099
1986,Vietnam,36.34256235758463
1986,Phil,20.356019337972004
