Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,region,location_word,lat,long
1964-9044-IND,1964,9044,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,Famine,NA,Yes,No,No,NA,NA,Km2,NA,NA,NA,NA,1964,8,NA,1964,NA,NA,NA,NA,166000,NA,166000,NA,NA,NA,12.1321174880359,India_SriLanka,mysore,12.29791,76.63925
1964-0068-IND,1964,0068,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1964,12,17,1964,12,17,500,NA,NA,NA,NA,NA,NA,NA,12.1321174880359,India_SriLanka,rameswaram,9.2885,79.31271
1964-9009-IND,1964,9009,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,7,NA,1964,NA,NA,NA,NA,500000,NA,500000,NA,NA,NA,12.1321174880359,India_SriLanka,rajasthan,26.58333,73.83333
1964-9009-IND,1964,9009,Natural,Climatological,Drought,Drought,NA,NA,NA,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1964,7,NA,1964,NA,NA,NA,NA,500000,NA,500000,NA,NA,NA,12.1321174880359,India_SriLanka,center,28.54722,77.25083
1966-0085-IND,1966,0085,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1966,11,3,1966,11,3,18,NA,150000,NA,150000,NA,NA,4200,12.6960281686485,India_SriLanka,madras,13.08784,80.27847
1967-0077-IND,1967,0077,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,7,Richter,17.412,73.885,04:21,NA,1967,12,11,1967,12,11,177,2272,50000,NA,52272,NA,NA,400,13.048062107494,India_SriLanka,maharashtra,19.07283,72.88261
1967-0077-IND,1967,0077,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,7,Richter,17.412,73.885,04:21,NA,1967,12,11,1967,12,11,177,2272,50000,NA,52272,NA,NA,400,13.048062107494,India_SriLanka,koynana,NA,NA
1967-0063-IND,1967,0063,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1967,10,8,1967,10,8,1000,NA,NA,NA,NA,NA,NA,NA,13.048062107494,India_SriLanka,orissa,20.5,84.41667
1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,India_SriLanka,rajasthan,26.58333,73.83333
1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,India_SriLanka,gujarat,23.02579,72.58727
1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,India_SriLanka,northeast,14.87505,76.46055
1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,India_SriLanka,west bengal,22.56263,88.36304
1968-0055-IND,1968,0055,Natural,Hydrological,Flood,Flash flood,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,1968,7,NA,1968,7,NA,4892,NA,7500000,NA,7500000,NA,NA,94200,13.6054460870388,India_SriLanka,assam,26,93
1968-0074-IND,1968,0074,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,10,1,1968,10,1,1000,NA,NA,NA,NA,NA,NA,NA,13.6054460870388,India_SriLanka,bihar,25.75,85.75
1968-0074-IND,1968,0074,Natural,Hydrological,Landslide,Landslide,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,10,1,1968,10,1,1000,NA,NA,NA,NA,NA,NA,NA,13.6054460870388,India_SriLanka,bengal,22.56263,88.36304
1968-0084-IND,1968,0084,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,12,4,1968,12,4,7,NA,15000,NA,15000,NA,NA,NA,13.6054460870388,India_SriLanka,ramanathapurum,NA,NA
1968-0084-IND,1968,0084,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Affect,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1968,12,4,1968,12,4,7,NA,15000,NA,15000,NA,NA,NA,13.6054460870388,India_SriLanka,thanjavur,10.78523,79.13909
1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,India_SriLanka,guntur,16.29974,80.45729
1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,India_SriLanka,krishna,16.50745,80.6466
1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,India_SriLanka,godavari,17,81.16667
1969-0071-IND,1969,0071,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,5,17,1969,5,17,600,NA,260000,NA,260000,NA,NA,8330,14.3486278167258,India_SriLanka,andhra pradesh,15.83333,79.75
1969-0109-IND,1969,0109,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1969,11,4,1969,11,4,200,NA,NA,NA,NA,NA,NA,NA,14.3486278167258,India_SriLanka,andhra pradesh,15.83333,79.75
1970-0112-IND,1970,0112,Natural,Geophysical,Earthquake,Ground movement,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,NA,NA,NA,NA,5,Richter,21.7,73,07:22,NA,1970,3,23,1970,3,23,26,200,NA,NA,200,NA,NA,NA,15.1863354613098,India_SriLanka,broach,22.77547,73.61488
1971-0058-IND,1971,0058,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1971,10,27,1971,10,27,9658,NA,4900000,2000000,6900000,NA,NA,30000,15.8382546266338,India_SriLanka,east coast,12.97327,80.26606
1971-0058-IND,1971,0058,Natural,Meteorological,Storm,Tropical cyclone,NA,NA,Kill,India,IND,Southern Asia,Asia,NA,NA,NA,Yes,NA,NA,NA,NA,Kph,NA,NA,NA,NA,1971,10,27,1971,10,27,9658,NA,4900000,2000000,6900000,NA,NA,30000,15.8382546266338,India_SriLanka,orissa,20.5,84.41667
